sticker_id,meme,explanation_of_the_reference,telegram_emoji_code,is_released,version,comment
1,Еще больше дашбордов богу дашбордов!,Кровь кровавому богу! Черепа к трону черепов!⁠⁠,:chart,TRUE,1.1.50,
2,"Если график растет, это хорошо, если падает, то плохо",https://www.youtube.com/watch?v=iYFZROZCkf0,:chart,TRUE,1.1.50,
3,"Каждый человек, который путает корреляцию и причинно-следственную связь, в конечном итоге умирает",Every single person who confuses correlation and causation ends up dying,:chart,TRUE,1.1.50,
4,"Не инсайд, а инсайт!",,:chart,TRUE,1.1.50,
5,Перемемных требуют наши сердца!,Песня группы Кино,:chart,TRUE,1.1.50,
6,А где вариант Б в А/Б-тесте?,,:chart,TRUE,1.1.50,
7,"LTV падает, милорд!",Stronghold,:chart,TRUE,1.1.50,
8,"Кажется, что мы столкнулись с паранормальным распределением",,:chart,TRUE,1.1.50,
9,Аналитик всегда прав,Клиент всегда прав,:chart,TRUE,1.1.50,
10,"Все люди делятся на 2 типа: те, кто может экстраполировать на неполных данных...",There are 2 types of people in this world: those who can extrapolate from incomplete data...,:chart,TRUE,1.1.50,
11,"Знаю одну шутку про статистику, но она средняя",,:chart,TRUE,1.1.50,
12,Статус: в поиске нового распределения,,:chart,TRUE,1.1.50,
13,Цифры не бьются,,:chart,TRUE,1.1.50,
14,Цифры бьются,,:chart,TRUE,1.1.50,
15,А результаты исследования на решения повлияют?,,:chart,TRUE,1.1.50,
16,Статистические критерии есть? А если найду?,,:chart,TRUE,1.1.50,
17,А ты точно сеньор-аналитик?,А ты точно продюсер?,:chart,TRUE,1.1.50,
18,Ищу инсайты и делаю стикеры!,,:chart,TRUE,1.1.50,
19,"Один говорит — А/Б, а тысяча: тесты!",https://www.youtube.com/watch?v=ly-pqx1P34k,:chart,TRUE,1.1.50,
20,"Аналитик: проводит А/Б-тест.
Заказчик: найди эффект любой ценой!",https://www.youtube.com/watch?v=ly-pqx1P34k,:chart,TRUE,1.1.50,
21,"Сейчас я скажу тебе самые важные слова: мы — отдел аналитики, а не отдел калькуляции",,:chart,TRUE,1.1.50,
22,В любой непонятной ситуации делай бутстрап,,:chart,TRUE,1.1.50,
23,"Data Quality это когда данные есть, а качества нет",,:chart,TRUE,1.1.50,
24,За retention головой отвечаю!,,:chart,TRUE,1.1.50,
25,"Хотите знать, как мы получаем такие крутые показатели? Мы их просто неправильно считаем!",,:chart,TRUE,1.1.50,
26,"Тестирование данных - это ерунда. Правда, до момента пока все не упадет",,:chart,TRUE,1.1.50,
27,"Я не всегда тестирую мои данные. Но если и тестирую их, то делаю это на проде",,:chart,TRUE,1.1.50,
28,Цифры не лгут!,,:chart,TRUE,1.1.50,
29,Сейчас подсчитаем!,,:chart,TRUE,1.1.50,
30,"DAU, RET, LTV и другие БОЛЬзовательские метрики",,:chart,TRUE,1.1.50,
31,Время провести АБВГД-тест,,:chart,TRUE,1.1.50,
32,Код - го*но!,,:chart,TRUE,1.1.50,
33,Это база. Низкая база,https://www.youtube.com/watch?v=MisiIMON5Xc,:chart,TRUE,1.1.50,Редизайн
34,Статистика не подводит!,,:chart,TRUE,1.1.50,
35,Без документации работа - боль,,:chart,TRUE,1.1.50,
36,"Анализ, а не оценка",,:chart,TRUE,1.1.50,
37,"Сначала го*но-код, потом экзистенциальный кризис",,:chart,TRUE,1.1.50,
38,А давайте сделаем бета-тест А/Б-теста?,,:chart,TRUE,1.1.50,
39,"А что будет, если мы эту задачу не сделаем?",,:chart,TRUE,1.1.50,
40,"Чем лучше подготовка, тем предсказуемее результат",,:chart,TRUE,1.1.50,
41,Грамотная гипотеза это - залог репрезентативных данных,,:chart,TRUE,1.1.50,
42,"Аналитик - контрибьютор правил, а не калькулятор",https://trisigma.io/,:chart,TRUE,1.1.50,
43,"А/Б-тесты без гипотезы = потеря сил, времени и нервов",https://www.youtube.com/live/KaPR6XLBq4o?feature=shared&t=5468,:chart,TRUE,1.1.50,
44,Гипотеза без А/Б-теста = вера,https://www.youtube.com/live/KaPR6XLBq4o?feature=shared&t=5468,:chart,TRUE,1.1.50,
45,Сильная гипотеза и А/Б-тест = подтвержденный эффект,https://www.youtube.com/live/KaPR6XLBq4o?feature=shared&t=5468,:chart,TRUE,1.1.50,
46,"А/Б-тесты - не панацея, главное - сильные гипотезы",,:chart,TRUE,1.1.50,
47,После этого - не значит вследствие этого,,:chart,TRUE,1.1.50,
48,Post hoc ergo propter hoc,,:chart,TRUE,1.1.50,
49,A/Б-тест не заменит продуктовое видение,https://www.youtube.com/live/KaPR6XLBq4o?feature=shared&t=7557,:chart,TRUE,1.1.50,
50,А/Б-тест - золотой стандарт оценки влияния изменений,"KARPOV.CONF, Казаков",:chart,TRUE,1.1.50,
51,Без графика - это просто мнение,Мем в инстаграме,:chart,TRUE,1.2.80,
52,Качественные данные - возможность для роста,,:chart,TRUE,1.2.80,
53,Удовольствие от аналитики,https://rapeed.ai/,:chart,TRUE,1.2.80,
54,Не все задачи одинаково полезны,Не все йогурты одинаково полезны,:chart,TRUE,1.2.80,
55,Аналитик маминой подруги,Сын маминой подруги,:chart,TRUE,1.2.80,
56,Умею продать инсайт!,https://t.me/analyticsavitotech/242,:chart,TRUE,1.2.80,
57,"И чем случайней, тем вернее...",Б. Пастернак,:chart,TRUE,1.2.80,
58,Сложность - враг продуктивности,,:chart,TRUE,1.2.80,
59,Это вам докажут цифры,К. Станиславский,:chart,TRUE,1.2.80,
60,Данные и аналитика - важный драйвер бизнеса,Data Driven 2025,:chart,TRUE,1.2.80,
61,Цели аналитики = цели бизнеса,Data Driven 2025,:chart,TRUE,1.2.80,
62,"Дата дривен? Не, не слышал",Data Driven 2025,:chart,TRUE,1.2.80,
63,"Датамеш или дататреш?",Data Driven 2025,:chart,TRUE,1.2.80,
64,"Если у вас есть документация, то вы - шедевральны!",Data Driven 2025,:chart,TRUE,1.2.80,
65,Любимое хобби аналитика - экстраполировать,Dream → Teamlead 2025,:chart,TRUE,1.2.80,
66,Верхнеуровневые КРІ не красятся,https://youtu.be/8kPzwqDUk5o?si=CueGwT3C7nmUpa1x&t=115,:chart,TRUE,1.2.80,
67,Ошибки - это база на пути к результату,https://telegra.ph/Kak-izmenilas-rol-lidera-Sprosili-rukovoditelej-YAndeks-360-10-14,:chart,TRUE,1.2.80,
68, Нельзя достоверно что-то предсказать - можно лишь осторожно предполагать,https://t-j.ru/pro/fingram/8-kopilka,:chart,TRUE,1.2.80,
69,"Если нужен АБ-тест, то не нужен АБ-тест...","Если надо объяснять, то не надо объяснять",:chart,TRUE,1.2.80,
70,"Лучше получить приблизительные результаты, чем вообще ничего",https://youtu.be/f-D4Z0NMsb0?si=m1-AyZEVsxfJNJHr&t=1561,:chart,TRUE,1.2.80,
71,Статистика не работает на одного!,https://youtu.be/-ir3Wf34Fus?si=fbiwLwob97-LRA6p&t=454,:chart,TRUE,1.2.80,
72,Надо дать всегда место случайности,umbtgR77mR8&t=7273s,:chart,TRUE,1.2.80,
73,"Дисперсия, а не депрессия!",,,TRUE,1.2.80,
74,"На входе надо думать, а не на выходе решать проблемы",https://dream-teamlead.yandex.ru/ Максим Дорофеев,:chart,TRUE,1.2.80,
75,Это шум и флуктуация,https://club.mnogosdelal.ru/post/2991/,:chart,TRUE,1.2.80,
76,Округление в неправильную сторону копит ошибку,https://t-j.ru/pro/math/1-intro/,:chart,TRUE,1.2.80,
77,"Аналитик, снизь шум, увеличь сигнал!",Референс в плакатах СССР,:chart,TRUE,1.2.80,
78,"В статистику не все могут смотреть. Вернее смотреть могут не только все лишь все, мало кто в ней может что-то увидеть",Цитата,:chart,TRUE,1.2.80,
79,"Данные выглядят интересно и необычно? Сначала читайте закон Тваймана, затем ищите ошибку",Twyman’s Law,:chart,TRUE,1.2.80,
80,"Если дать двум аналитикам подсчитать один АБ-тест, то очень вероятно, что результаты будут разными",Искандер,:chart,TRUE,1.2.80,
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,,,,,,
97,,,,,,
98,,,,,,
99,,,,,,
100,,,,,,
